--------- beginning of main
05-24 14:44:37.334 16338 16358 I Unity   : RightHandAnchor closed
05-24 14:44:37.334 16338 16358 I Unity   : HandController:handle_controller_behavior()
05-24 14:44:37.334 16338 16358 I Unity   : 
05-24 14:44:38.130 16338 16358 I Unity   : RightHandAnchor closed
05-24 14:44:38.130 16338 16358 I Unity   : HandController:handle_controller_behavior()
05-24 14:44:38.130 16338 16358 I Unity   : 
05-24 14:44:38.857 16338 16358 I Unity   : RightHandAnchor closed
05-24 14:44:38.857 16338 16358 I Unity   : HandController:handle_controller_behavior()
05-24 14:44:38.857 16338 16358 I Unity   : 
05-24 14:44:39.888 16338 16358 I Unity   : RightHandAnchor closed
05-24 14:44:39.888 16338 16358 I Unity   : HandController:handle_controller_behavior()
05-24 14:44:39.888 16338 16358 I Unity   : 
05-24 14:44:41.682 16338 16358 I Unity   : RightHandAnchor closed
05-24 14:44:41.682 16338 16358 I Unity   : HandController:handle_controller_behavior()
05-24 14:44:41.682 16338 16358 I Unity   : 
05-24 14:44:41.683 16338 16358 I Unity   : RightHandAnchor grasped Lettuce(Clone)
05-24 14:44:41.683 16338 16358 I Unity   : HandController:handle_controller_behavior()
05-24 14:44:41.683 16338 16358 I Unity   : 
05-24 14:44:42.419 16338 16358 I Unity   : trigger enter
05-24 14:44:42.685 16338 16358 I Unity   : RightHandAnchor released Lettuce(Clone)
05-24 14:44:42.685 16338 16358 I Unity   : HandController:handle_controller_behavior()
05-24 14:44:42.685 16338 16358 I Unity   : 
05-24 14:44:42.685 16338 16358 I Unity   : detach_from {0}(-0.05, -0.23, -0.35)
05-24 14:44:42.685 16338 16358 I Unity   : Grabbable:detach_from(HandController, Vector3, Vector3)
05-24 14:44:42.685 16338 16358 I Unity   : HandController:handle_controller_behavior()
05-24 14:44:42.685 16338 16358 I Unity   : 
05-24 14:44:42.685 16338 16358 I Unity   :  hand releasing velocity (-0.05, -0.23, -0.35)
05-24 14:44:42.685 16338 16358 I Unity   : HandController:handle_controller_behavior()
05-24 14:44:42.685 16338 16358 I Unity   : 
05-24 14:44:42.697 16338 16358 I Unity   : trigger enter
05-24 14:44:43.366 16338 16358 I Unity   : RightHandAnchor closed
05-24 14:44:43.366 16338 16358 I Unity   : HandController:handle_controller_behavior()
05-24 14:44:43.366 16338 16358 I Unity   : 
05-24 14:44:43.367 16338 16358 I Unity   : RightHandAnchor grasped Lettuce(Clone)
05-24 14:44:43.367 16338 16358 I Unity   : HandController:handle_controller_behavior()
05-24 14:44:43.367 16338 16358 I Unity   : 
05-24 14:44:43.672 16338 16358 I Unity   : trigger enter
05-24 14:44:43.701 16338 16358 I Unity   : RightHandAnchor released Lettuce(Clone)
05-24 14:44:43.701 16338 16358 I Unity   : HandController:handle_controller_behavior()
05-24 14:44:43.701 16338 16358 I Unity   : 
05-24 14:44:43.701 16338 16358 I Unity   : detach_from {0}(-0.10, -0.39, -0.34)
05-24 14:44:43.701 16338 16358 I Unity   : Grabbable:detach_from(HandController, Vector3, Vector3)
05-24 14:44:43.701 16338 16358 I Unity   : HandController:handle_controller_behavior()
05-24 14:44:43.701 16338 16358 I Unity   : 
05-24 14:44:43.701 16338 16358 I Unity   :  hand releasing velocity (-0.10, -0.39, -0.34)
05-24 14:44:43.701 16338 16358 I Unity   : HandController:handle_controller_behavior()
05-24 14:44:43.701 16338 16358 I Unity   : 
05-24 14:44:43.714 16338 16358 I Unity   : trigger enter
05-24 14:44:44.355 16338 16358 I Unity   : RightHandAnchor closed
05-24 14:44:44.355 16338 16358 I Unity   : HandController:handle_controller_behavior()
05-24 14:44:44.355 16338 16358 I Unity   : 
05-24 14:44:44.356 16338 16358 I Unity   : RightHandAnchor grasped Knife
05-24 14:44:44.356 16338 16358 I Unity   : HandController:handle_controller_behavior()
05-24 14:44:44.356 16338 16358 I Unity   : 
05-24 14:44:44.368 16338 16358 I Unity   : trigger enter
05-24 14:44:44.675 16338 16358 I Unity   : RightHandAnchor released Knife
05-24 14:44:44.675 16338 16358 I Unity   : HandController:handle_controller_behavior()
05-24 14:44:44.675 16338 16358 I Unity   : 
05-24 14:44:44.675 16338 16358 I Unity   : detach_from {0}(0.09, -0.08, 0.32)
05-24 14:44:44.675 16338 16358 I Unity   : Grabbable:detach_from(HandController, Vector3, Vector3)
05-24 14:44:44.675 16338 16358 I Unity   : HandController:handle_controller_behavior()
05-24 14:44:44.675 16338 16358 I Unity   : 
05-24 14:44:44.676 16338 16358 I Unity   :  hand releasing velocity (0.09, -0.08, 0.32)
05-24 14:44:44.676 16338 16358 I Unity   : HandController:handle_controller_behavior()
05-24 14:44:44.676 16338 16358 I Unity   : 
05-24 14:44:44.716 16338 16358 I Unity   : collision enter {0} {1}Lettuce(Clone)Untagged
05-24 14:44:44.716 16338 16358 I Unity   : Cuttable:OnCollisionEnter(Collision)
05-24 14:44:44.716 16338 16358 I Unity   : UnityEngine.Physics:ReportContacts(ReadOnly)
05-24 14:44:44.716 16338 16358 I Unity   : UnityEngine.Physics:OnSceneContact(PhysicsScene, IntPtr, Int32)
05-24 14:44:44.716 16338 16358 I Unity   : 
05-24 14:44:44.719 16338 16358 I Unity   :  ==== Cutting Speed {0} {1}Knife(0.21, -0.17, 0.19)
05-24 14:44:44.719 16338 16358 I Unity   : Cuttable:OnCollisionEnter(Collision)
05-24 14:44:44.719 16338 16358 I Unity   : UnityEngine.Physics:ReportContacts(ReadOnly)
05-24 14:44:44.719 16338 16358 I Unity   : UnityEngine.Physics:OnSceneContact(PhysicsScene, IntPtr, Int32)
05-24 14:44:44.719 16338 16358 I Unity   : 
05-24 14:44:44.720 16338 16358 I Unity   :  #### Impulse {0} {1}(0.00, 0.00, 0.00)
05-24 14:44:44.720 16338 16358 I Unity   : Cuttable:OnCollisionEnter(Collision)
05-24 14:44:44.720 16338 16358 I Unity   : UnityEngine.Physics:ReportContacts(ReadOnly)
05-24 14:44:44.720 16338 16358 I Unity   : UnityEngine.Physics:OnSceneContact(PhysicsScene, IntPtr, Int32)
05-24 14:44:44.720 16338 16358 I Unity   : 
05-24 14:44:44.827 16338 16358 I Unity   : trigger enter
05-24 14:44:45.455 16338 16358 I Unity   : RightHandAnchor closed
05-24 14:44:45.455 16338 16358 I Unity   : HandController:handle_controller_behavior()
05-24 14:44:45.455 16338 16358 I Unity   : 
05-24 14:44:45.455 16338 16358 I Unity   : RightHandAnchor grasped Knife
05-24 14:44:45.455 16338 16358 I Unity   : HandController:handle_controller_behavior()
05-24 14:44:45.455 16338 16358 I Unity   : 
